formula,chemsys,ehull
Li1 Ti3 N4,Li-N-Ti,-0.034676898
Mg1 Re2 N2,Mg-N-Re,-0.17355198
Mn2 Zn4 N6,Mn-N-Zn,0.00688384
Mn2 Zn4 N6,Mn-N-Zn,0.010063005
Mn2 Zn6 N8,Mn-N-Zn,0.000749982
Mn1 Zn3 N4,Mn-N-Zn,0.007766605
Mn1 Zn3 N4,Mn-N-Zn,0.031095845
Na1 Mo2 N3,Mo-N-Na,0.052006062
Na3 Mo2 N5,Mo-N-Na,-0.025700336
Na6 Mo4 N10,Mo-N-Na,-0.036346974
Na2 Mo4 N6,Mo-N-Na,-0.005778421
Sr8 Re2 N10,N-Re-Sr,-0.131517392
Na1 Re2 N2,N-Na-Re,-0.06515312
Na1 W1 N2,N-Na-W,0.063333204
Na1 W1 N2,N-Na-W,0.075813961
Zn1 Re2 N2,N-Re-Zn,-0.023292541
Na3 Os1 N3,N-Na-Os,-0.094895486
Na4 Ni5 N3,N-Na-Ni,-0.084941257
Na4 Os1 N3,N-Na-Os,-0.012667404
Na6 Ni3 N3,N-Na-Ni,-0.119351703
Na3 W2 N5,N-Na-W,-0.025215866
Na3 W2 N5,N-Na-W,-0.008005264
Zn4 Re1 N5,N-Re-Zn,-0.142313799
Zn4 Re1 N5,N-Re-Zn,-0.147417898
Na6 Os2 N6,N-Na-Os,-0.122871193
Na8 Os2 N6,N-Na-Os,-0.042900749
Y6 Se4 N6,N-Se-Y,0.427463345
Na9 Os3 N8,N-Na-Os,-0.078770015
Sr4 Si4 N8,N-Si-Sr,0.121157644
Sr4 Si4 N8,N-Si-Sr,0.101053493
Na2 Ni1 N1,N-Na-Ni,-0.126962271
Na3 Ni1 N1,N-Na-Ni,-0.083257938
Zn1 Re1 N1,N-Re-Zn,-0.065857269
Y1 Si2 N1,N-Si-Y,0.046880201
Y2 Si2 N1,N-Si-Y,0.061222417
Si4 Ag2 N6,Ag-N-Si,0.201105243
Cr11 Ag1 N6,Ag-Cr-N,0.13365358
Cr11 Ag1 N6,Ag-Cr-N,0.148112406
Al2 Mo2 N4,Al-Mo-N,0.151108459
Al2 Zn3 N4,Al-N-Zn,0.088416739
Al2 Zn3 N4,Al-N-Zn,0.073662169
Al2 Zn6 N6,Al-N-Zn,0.069929894
Mn3 Al3 N6,Al-Mn-N,0.056208201
Mn2 Al4 N6,Al-Mn-N,0.070410487
Al4 Zn6 N8,Al-N-Zn,0.080470717
Al5 Fe1 N6,Al-Fe-N,0.091089453
Mn2 Al5 N7,Al-Mn-N,0.063753145
Mn1 Al5 N6,Al-Mn-N,0.068037853
Mn1 Al5 N6,Al-Mn-N,0.090338538
Cr11 Ag1 N6,Ag-Cr-N,0.164357005
Al5 Mo1 N6,Al-Mo-N,0.106643923
Al5 Zn1 N6,Al-N-Zn,0.090614719
Al7 Fe1 N8,Al-Fe-N,0.084375636
Al7 Mo1 N8,Al-Mo-N,0.111074828
Al9 Cd1 N10,Al-Cd-N,0.127754995
Al9 Fe1 N10,Al-Fe-N,0.068539593
Al1 Mo2 N3,Al-Mo-N,0.16933113
Al1 Zn6 N5,Al-N-Zn,0.07597265
Al1 Zn6 N5,Al-N-Zn,0.07511836
Mg3 Au2 N2,Au-Mg-N,0.18032497
Ta1 Au2 N2,Au-N-Ta,0.285923455
Ta6 Au2 N2,Au-N-Ta,0.191285573
Ta2 Au2 N3,Au-N-Ta,0.267085644
Ta2 Au2 N4,Au-N-Ta,0.263132552
Ta2 Au2 N4,Au-N-Ta,0.240647853
Ta2 Au2 N4,Au-N-Ta,0.267331383
Mg2 Au1 N2,Au-Mg-N,0.186740711
Ta1 Au1 N2,Au-N-Ta,0.240447682
Ta1 Au1 N2,Au-N-Ta,0.244211624
Ta1 Au1 N2,Au-N-Ta,0.244100589
Cr6 B2 N1,B-Cr-N,0.104281445
Cr6 B2 N2,B-Cr-N,0.101834315
Cr6 B2 N1,B-Cr-N,0.097430142
In2 B2 N4,B-In-N,0.197065681
In4 B2 N6,B-In-N,0.168579106
In4 B2 N6,B-In-N,0.167766808
In4 B2 N6,B-In-N,0.163374409
B2 Mo5 N1,B-Mo-N,0.136020501
In2 B4 N5,B-In-N,0.227387573
In2 B4 N6,B-In-N,0.176144123
In1 B4 N5,B-In-N,0.183518894
Cr12 B5 N1,B-Cr-N,0.084406155
In1 B5 N6,B-In-N,0.167516815
In1 B5 N6,B-In-N,0.177827071
In1 B6 N7,B-In-N,0.180272615
B6 Mo8 N1,B-Mo-N,0.119509856
Cr6 B1 N3,B-Cr-N,0.13156726
In5 B1 N6,B-In-N,0.166949677
B1 Mo11 N6,B-Mo-N,0.1370729
B1 Mo6 N2,B-Mo-N,0.131173546
B1 Mo8 N3,B-Mo-N,0.104905976
B2 C2 N2,B-C-N,0.008053012
B2 C2 N2,B-C-N,0.008096637
B3 C2 N3,B-C-N,0.009152639
B1 C2 N1,B-C-N,0.004726843
B1 C2 N1,B-C-N,0.004430043
B1 C2 N1,B-C-N,0.004467528
B1 C2 N1,B-C-N,0.005303898
Na1 Ca10 N7,Ca-N-Na,0.128520681
Ca2 Pb2 N2,Ca-N-Pb,0.025575462
Ca2 Y1 N2,Ca-N-Y,0.014779492
Ca2 Y1 N2,Ca-N-Y,0.016629284
Ca3 Y5 N7,Ca-N-Y,0.044115783
Ca6 Ir2 N6,Ca-Ir-N,-0.070888634
Ca8 Ir2 N8,Ca-Ir-N,-0.064951812
Ca1 Y9 N10,Ca-N-Y,0.024728692
Y2 Co1 N3,Co-N-Y,0.052690437
Y3 Co1 N4,Co-N-Y,0.033835398
Y4 Co1 N5,Co-N-Y,0.025637632
Sc8 Cr2 N10,Cr-N-Sc,0.024773728
Nb2 Cr2 N2,Cr-N-Nb,0.013715357
Sc4 Cr2 N6,Cr-N-Sc,0.028402112
Sc5 Cr2 N7,Cr-N-Sc,0.040614419
Sc7 Cr2 N9,Cr-N-Sc,0.027182537
Cr3 W1 N4,Cr-N-W,0.052879009
Sc3 Cr3 N6,Cr-N-Sc,0.050866226
Cr4 Se2 N2,Cr-N-Se,0.039671142
Cr4 W2 N6,Cr-N-W,0.078610553
Cr5 W1 N6,Cr-N-W,0.050919915
Cr8 Te1 N11,Cr-N-Te,0.213184754
Sc9 Cr1 N10,Cr-N-Sc,0.021244527
Nb2 Cr1 N2,Cr-N-Nb,0.042404484
Sc4 Cr1 N5,Cr-N-Sc,0.109256594
Sc5 Cr1 N6,Cr-N-Sc,0.034764526
Sc6 Cr1 N7,Cr-N-Sc,0.018241927
Cu2 Si4 N6,Cu-N-Si,0.111296554
V6 Fe2 N2,Fe-N-V,0.074566136
Y2 Fe1 N3,Fe-N-Y,0.048712812
Y3 Fe1 N4,Fe-N-Y,0.044917805
Y4 Fe1 N5,Fe-N-Y,0.042038614
Ga2 Ni8 N2,Ga-N-Ni,0.02875338
Ga2 Ni8 N2,Ga-N-Ni,0.030376537
Zr5 Ga2 N2,Ga-N-Zr,0.018561061
Zr6 Ga2 N2,Ga-N-Zr,0.015554551
Ga2 Ni14 N4,Ga-N-Ni,0.01161291
Zr8 Ga2 N5,Ga-N-Zr,0.044324381
Ga3 Te1 N4,Ga-N-Te,0.366662518
Ga3 Si3 N7,Ga-N-Si,0.10977593
Ga4 Si3 N8,Ga-N-Si,0.088024094
Ga5 Te1 N5,Ga-N-Te,0.335880414
Ga5 Te1 N5,Ga-N-Te,0.357535764
Ti5 Ge2 N2,Ge-N-Ti,0.098425282
Ti6 Ge2 N2,Ge-N-Ti,0.082251624
Ge2 W1 N4,Ge-N-W,-0.046973527
Ge1 W1 N2,Ge-N-W,0.059051591
Y4 In2 N5,In-N-Y,0.065756141
In4 S2 N2,In-N-S,0.071000141
In6 S2 N4,In-N-S,0.085305285
In8 S1 N7,In-N-S,0.097030532
Y5 In1 N6,In-N-Y,0.033996542
Y7 In1 N8,In-N-Y,0.032691575
Li10 Pt2 N4,Li-N-Pt,-0.008360381
Li10 Pt2 N4,Li-N-Pt,-0.00926914
Li5 Pt1 N2,Li-N-Pt,0.001008876
Li7 Pt2 N3,Li-N-Pt,-0.067616473
Li7 Pt2 N3,Li-N-Pt,-0.043874661
Li8 Pt1 N3,Li-N-Pt,-0.003365423
Li8 Pt1 N3,Li-N-Pt,0.011652258
Mg2 Rh6 N2,Mg-N-Rh,0.098357461
Mg1 Rh3 N1,Mg-N-Rh,0.11231165
Mn11 Si3 N1,Mn-N-Si,0.093035873
Mn2 Nb2 N2,Mn-N-Nb,0.096970167
Mn5 Si1 N6,Mn-N-Si,0.039637102
Mn7 Os1 N8,Mn-N-Os,0.056685663
Mn8 Os2 N2,Mn-N-Os,0.041674695
Mn1 Nb2 N2,Mn-N-Nb,0.03035277
Mo2 W2 N2,Mo-N-W,0.009660288
Mo3 W1 N2,Mo-N-W,-0.003855832
V1 Mo3 N3,Mo-N-V,0.017868838
V1 Mo4 N3,Mo-N-V,-0.004767716
Mo4 W2 N4,Mo-N-W,0.031905858
V6 Mo1 N1,Mo-N-V,0.031817608
Ta2 W4 N10,N-Ta-W,0.126200329
Ta3 W3 N10,N-Ta-W,0.103768554
Ta4 W2 N10,N-Ta-W,0.08467111
Pb2 W5 N11,N-Pb-W,0.14251903
Pb2 W5 N11,N-Pb-W,0.134840355
Pb2 W5 N11,N-Pb-W,0.110655679
Ta7 W1 N12,N-Ta-W,0.10814467
Sr8 Pd1 N2,N-Pd-Sr,0.101639432
Si2 Pt2 N2,N-Pt-Si,0.112000556
Ta6 S10 N2,N-S-Ta,0.04365787
Ta2 S2 N2,N-S-Ta,0.008271979
Ta2 S2 N2,N-S-Ta,0.008466134
Ta2 S2 N2,N-S-Ta,0.009883756
Ta3 S4 N2,N-S-Ta,0.032885293
Ta3 S4 N2,N-S-Ta,0.031739848
Sr2 Sc1 N2,N-Sc-Sr,0.191572072
Sr2 Sc1 N2,N-Sc-Sr,0.192164678
Ta6 Si2 N2,N-Si-Ta,0.160187167
Zr5 Si2 N2,N-Si-Zr,0.108656964
Zr6 Si2 N2,N-Si-Zr,0.059425286
Ta2 V6 N2,N-Ta-V,0.059272785
Ta3 V3 N2,N-Ta-V,0.041821097
Ta3 V3 N2,N-Ta-V,0.040956075
Ta3 V3 N2,N-Ta-V,0.022255156
Ta4 V4 N2,N-Ta-V,0.044276167
Ta5 V3 N2,N-Ta-V,0.037630198
Ta6 V2 N2,N-Ta-V,0.040014468
Ta6 V2 N2,N-Ta-V,0.014121769
Ta1 W1 N2,N-Ta-W,0.154683738
Zr2 V2 N2,N-V-Zr,-0.047258077
Si3 Pt3 N3,N-Pt-Si,0.181653936
Ta1 Si1 N3,N-Si-Ta,0.141053475
Ti2 Te1 N3,N-Te-Ti,0.380533116
Zr3 V2 N3,N-V-Zr,-0.04791895
Si4 Pt4 N4,N-Pt-Si,0.158891444
Sr4 Sc2 N4,N-Sc-Sr,0.209304022
Si4 Se4 N4,N-Se-Si,0.008626936
Si4 Se4 N4,N-Se-Si,-0.008583577
Si2 Sn1 N4,N-Si-Sn,0.128305632
Si2 Sn2 N4,N-Si-Sn,0.107883741
Si1 Sn2 N4,N-Si-Sn,0.119390508
Ta2 W1 N4,N-Ta-W,0.114938487
Ta2 W2 N4,N-Ta-W,0.145012549
Ta3 V5 N4,N-Ta-V,0.03878497
Ta4 V4 N4,N-Ta-V,0.050734782
Ta5 V3 N4,N-Ta-V,0.046903394
Ta7 V1 N4,N-Ta-V,0.023082483
Ta1 W2 N4,N-Ta-W,0.088493703
V2 Te2 N4,N-Te-V,0.451522652
Pb2 W2 N5,N-Pb-W,0.144552932
Si2 Sn3 N5,N-Si-Sn,0.156535462
Ta2 Si2 N5,N-Si-Ta,0.108453857
Ta3 W1 N5,N-Ta-W,0.082028509
Pb3 W2 N6,N-Pb-W,0.11915695
Re3 W1 N6,N-Re-W,0.03180451
Ta2 Si2 N6,N-Si-Ta,0.124196997
Si4 Sn1 N6,N-Si-Sn,0.145317904
Ta10 W2 N6,N-Ta-W,0.098509048
Ta2 W2 N6,N-Ta-W,0.136597077
Na1 Sc8 N7,N-Na-Sc,0.148744268
Pb2 W3 N7,N-Pb-W,0.111444244
Pb2 W3 N7,N-Pb-W,0.145879131
Zr4 Si2 N1,N-Si-Zr,0.052426727
Ta4 V1 N1,N-Ta-V,0.037415038
Ta1 V2 N1,N-Ta-V,-0.008410624
Mn5 Bi2 N7,Bi-Mn-N,0.217295536
Mn6 Bi2 N6,Bi-Mn-N,0.231478334
Na8 Bi2 N2,Bi-N-Na,0.225497404
Zn4 Bi2 N4,Bi-N-Zn,0.0367791
Zn5 Bi2 N4,Bi-N-Zn,0.025457541
Mn4 Bi1 N5,Bi-Mn-N,0.219313309
Zn4 Bi1 N3,Bi-N-Zn,0.053284382
Zn11 Bi1 N8,Bi-N-Zn,0.090224368
Ge4 C2 N6,C-Ge-N,0.054289265
Ge4 C2 N6,C-Ge-N,0.055685138
Pt2 C2 N2,C-N-Pt,0.173796184
Pd2 C2 N4,C-N-Pd,0.267704527
Pd2 C2 N4,C-N-Pd,0.266603168
Pd2 C2 N4,C-N-Pd,0.267491797
Pt2 C2 N4,C-N-Pt,0.270674127
Pt2 C3 N5,C-N-Pt,0.199763942
Ir2 C4 N4,C-Ir-N,0.163168123
Ir2 C4 N6,C-Ir-N,0.21041706
Rh1 C7 N10,C-N-Rh,0.200370084
Cd2 Cu2 N2,Cd-Cu-N,0.250444508
Cd2 Cu4 N2,Cd-Cu-N,0.240014068
Cd2 Cu4 N2,Cd-Cu-N,0.228542273
Cd2 Cu1 N1,Cd-Cu-N,0.226180459
Cd1 Cu6 N2,Cd-Cu-N,0.227978597
Cd1 In2 N2,Cd-In-N,0.122500956
Cd1 In5 N4,Cd-In-N,0.131782633
Cd1 In7 N8,Cd-In-N,0.119238247
Cd1 In7 N8,Cd-In-N,0.127790645
Cd1 In8 N9,Cd-In-N,0.109002625
Pd1 C1 N2,C-N-Pd,0.267736358
Pd1 C1 N2,C-N-Pd,0.268919091
Re3 C1 N6,C-N-Re,-0.005293297
Re8 C1 N7,C-N-Re,0.108739875
Ni6 C1 N1,C-N-Ni,0.025744779
Pd2 C1 N1,C-N-Pd,0.314361692
Re4 C1 N1,C-N-Re,0.022601131
Rh6 C1 N1,C-N-Rh,0.197429751
Cu10 S7 N1,Cu-N-S,0.101836056
Cu11 S6 N1,Cu-N-S,0.0833242
Cu2 Os2 N2,Cu-N-Os,0.272889957
Cu2 Os2 N2,Cu-N-Os,0.220475407
Cu2 Os3 N3,Cu-N-Os,0.223641438
Cu2 Os4 N4,Cu-N-Os,0.184577317
Cu4 Os4 N4,Cu-N-Os,0.230578965
Cu9 S5 N1,Cu-N-S,0.114086025
Zn8 Cu1 N6,Cu-N-Zn,0.044216484
Zn10 Cu1 N7,Cu-N-Zn,0.054766458
Cu1 Os1 N1,Cu-N-Os,0.225586312
Fe4 Sb2 N2,Fe-N-Sb,0.116979763
Fe4 Pb2 N3,Fe-N-Pb,0.22904134
Fe4 Pb2 N4,Fe-N-Pb,0.242914301
Fe6 Sb2 N4,Fe-N-Sb,0.177206257
Fe7 Sb1 N3,Fe-N-Sb,0.14942201
In2 Pb1 N2,In-N-Pb,0.15748021
In2 Pb1 N2,In-N-Pb,0.153295468
In5 Pb1 N6,In-N-Pb,0.13313278
In9 Pb3 N8,In-N-Pb,0.150407375
Ni5 Ir1 N2,Ir-N-Ni,0.112253864
Re3 Mo1 N6,Mo-N-Re,-0.009530162
Ni4 Ru2 N2,N-Ni-Ru,0.113690029
Ni6 Ru2 N2,N-Ni-Ru,0.08807146
Ni9 Ru1 N4,N-Ni-Ru,0.072549997
Zn4 Ru4 N4,N-Ru-Zn,-0.025736791
